Sentence,Label
Autotank Group is part of Aspo 's Systems Division .,1
"The contract includes design , construction , delivery of equipment , installation and commissioning .",1
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,2
"The share capital of Alma Media Corporation (business ID 1944757-4)is EUR 45,031,513.80 and it is divided into 75,052,523 shares .",1
"The financial impact is estimated to be some 1.5 MEUR annual improvement in the division 's result , starting from fiscal year 2007 .",2
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,1
Construction is expected to be completed in the summer of 2011 .,1
Operating profit rose from EUR 1.94 mn to EUR 2.45 mn .,2
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",1
"The price of the 10,000 kroon par value bonds was 9663,51 kroons in the primary issue .",1
The financial statements release will be available after publishing on the Company 's internet pages at www.cargotec.com .,1
"Tieto in Latvia is represented by IT services companies TietoEnator Alise and TietoEnator , which has operations in the industries of Financial Services Cards , Retail and Logistics and IT Outsourcing and Managed Services .",1
The dividends payable annually shall be deducted from the share subscription price .,1
Net sales surged by 30 % to EUR 36 million .,2
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",2
The company will make its marketing and sales investments initiated in 2009 even more efficient in 2010 .,2
"Iso Omena is based in the Matinkyla district of the southern part of the city of Espoo , southern Finland .",1
"`` Adjustment to the fall in price level , in contrast , has been less effective .",0
"The company has decided to stop the operations of Ruukki Construction Division in Latvia and Lithuania , and concentrate the production and logistics in Parnu , Estonia in 2009 .",1
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",1
The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,2
It was decided that the auditors are reimbursed according to invoice .,1
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",1
"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",2
Prices and delivery volumes of broadband products decreased significantly in 2005 .,0
Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 .,0
The EUR 0.7 million non-recurring expenses have been recorded for the third quarter .,1
Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .,0
`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',1
Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,2
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",1
"The Finnish national carrier said net loss in April through June was euro26 million , down from a net profit of euro13 million a year earlier .",0
Bovine slaughtering and cutting at the Kuopio facility will be transferred to the Kauhajoki slaughterhouse .,1
Net sales grew in the period to  x20ac 402 million $ 585US million from  x20ac 401 million in 2006 .,2
"In 2008 , Kemira recorded revenue of approximately EUR 2.8 billion and had a staff of 9,400 .",1
"It is being developed by Symbian , the software licensing consortium led by Nokia .",1
down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 .,0
"One price category is for calls on the preferred operator 's network , and another for calls on other operators ' networks .",1
"Professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",1
Operating profit excluding non-recurring items increased by 27 % to EUR 81.9 mn from EUR 64.4 mn in the corresponding period in 2008 .,2
Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 .,2
"In addition , the contract includes modification of the effluent treatment plant at Follum .",1
"Operating loss before non-recurring items was EUR 0.9 mn , compared to a profit of EUR 11.5 mn in 2008 .",0
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,2
"Both operating profit and sales for the three-month period increased , respectively from EUR0 .3 m and EUR13 .1 m , as compared to the corresponding period in 2005 .",2
The bond has a value of EUR150m and a maturity of 4 years .,1
"Okhta Center area is expected to have about 700,000 square metres of office premises by 2016 .",1
Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million .,0
Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement .,1
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",2
"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",1
Fancy Dans on the move FAB Glasgow gift and interiors store Fancy Dans is moving !,1
"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",0
"In the Czech Republic , the smaller profiling unit at Ostrava will be closed and the machinery will be gradually relocated to Ruukki 's bigger plants in Hungary , Poland and Romania by the end of the first quarter of 2009 .",1
Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,2
"The negotiations concern personnel of Cencorp Corporation and Singulase Oy as whole in Finland and in Sweden , the company said .",1
No financial information was provided .,1
"The Stockmann department store will have a total floor space of over 8,000 square metres and Stockmann 's investment in the project will have a price tag of about EUR 12 million .",1
"These include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics , '' EBRD informed .",1
"In a letter to Economic Affairs Minister , the listed Estonian shipping company Tallink asks for the approval to be entitled to a 15 % cut in port fees in 2010 .",1
"- The Group -¦ s cumulative sales during the review period were EUR 48.2 million EUR 53.1 million , 1-9/2007 and profit before taxes was EUR 1.2 1.4 million .",1
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,1
"The major part of the deliveries include different AC and CXE amplifier solutions and products by Belgian DINH Telecom , a broadband solutions company acquired by Teleste in the spring of 2007 .",1
"The tests , conducted at Nokia Siemens ' LTE center of competence in Espoo , Finland , follow the company 's production start of LTE-ready Flexi Multiradio Base Stations for the 800 MHz band in April 2010 , and complement earlier tests with Nokia on the 2100 MHz and 2600 MHz bands .",1
The value of this kind of order amounts usually between Euro 2 and 3 million .,1
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",1
Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .,1
In 2008 Stockmann earned 3.398 million lats in profit on 48.012 million lats in turnover .,1
The power generated annually by Loviisa covers about 10 % of Finland 's electricity consumption .,1
"The reductions will be implemented immediately , beginning in October 2009 .",1
"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",2
"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",1
"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2
"The biggest sellers in the chain 's supermarkets in Finland are organic Pirkka tomatoes , carrots , eggs , and meat products .",1
Capitex Kalmar will continue to be responsible for the maintenance and technical development of the services .,1
Stora Enso will receive a 19.9 pct equity interest in the combined company .,1
Terms of the acquisition were not disclosed .,1
"External net sales from the printing business fell by 43.7 % , partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices .",0
"The product range includes marinated olives , cold cuts , and pates , for example .",1
"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",0
No financial or pricing details were disclosed .,1
The company has 120 employees and annual sales of approximately EUR16m .,1
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1
"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .",2
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,1
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",2
Clothing chain Sepp+ñl+ñ 's net sales increased by 7.0 % to EUR 30.8 mn .,2
"Thus the group 's balance sheet will have about EUR 25.8 million of goodwill , the company added .",1
"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .",2
Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,1
"The remainder of its revenues will come from technology agreements with other firms , InterDigital said .",1
"Cohen & Steers , Inc. : 5 534 530 shares representing 4.985 % of the share capital and voting rights .",1
Bluewin Security is available as a monthly subscription .,1
The value of the order is USD 2.2 mn .,1
Finnish Cargotec 's Kalmar has received a significant order from the US Department of Defense .,2
The duration of the contract is 37 months .,1
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",1
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",1
The proposal that the Board of Directors will make at the Annual General Meeting is attached as a whole to this release .,1
"A data processing unit collects the data , calculates RVR values and provides the data to users via various interfaces .",1
"Tyrvaan Sanomat , published twice a week by Tyrvaan Sanomat Oy , appears in Sastamala and Kiikoinen .",1
The value of the orders is about EUR 25mn .,1
Panostaja Oyj 's Board also decided at its organisational meeting held upon completion of the AGM to implement the AGM decision concerning Board member fees paid as shares in such a way that shares are transferred on a quarterly basis on the date following publication of the quarterly-annual report .,1
Operating profit rose to EUR 4.7 mn from EUR 3.6 mn .,2
